Ruch,godzina,dzien,miesiac,rok
1,22:23:03,09,02,2022
1,22:23:05,09,02,2022
1,22:23:12,09,02,2022
1,22:23:28,09,02,2022
1,22:23:33,09,02,2022
1,22:23:38,09,02,2022
1,22:23:39,09,02,2022
1,22:23:40,09,02,2022
1,22:27:31,09,02,2022
1,22:27:35,09,02,2022
1,22:27:35,09,02,2022
1,22:27:36,09,02,2022
1,22:27:41,09,02,2022
1,22:27:41,09,02,2022
1,22:27:47,09,02,2022
1,22:27:47,09,02,2022
1,22:27:53,09,02,2022
1,22:28:17,09,02,2022
1,22:28:18,09,02,2022
1,22:28:26,09,02,2022
1,22:29:04,09,02,2022
1,22:29:05,09,02,2022
1,22:29:34,09,02,2022
1,22:29:41,09,02,2022
1,22:29:42,09,02,2022
1,22:29:43,09,02,2022
1,22:29:43,09,02,2022
1,22:29:48,09,02,2022
1,22:29:49,09,02,2022
1,22:29:49,09,02,2022
1,22:29:50,09,02,2022
1,22:29:51,09,02,2022
1,22:40:06,09,02,2022
1,22:40:12,09,02,2022
1,22:40:41,09,02,2022
1,22:40:42,09,02,2022
1,22:40:42,09,02,2022
1,22:40:44,09,02,2022
1,22:40:52,09,02,2022
1,22:40:53,09,02,2022
1,22:40:54,09,02,2022
1,22:40:58,09,02,2022
1,22:40:59,09,02,2022
1,22:40:59,09,02,2022
1,22:41:09,09,02,2022
1,22:41:10,09,02,2022
1,22:41:11,09,02,2022
1,22:41:16,09,02,2022
1,22:41:17,09,02,2022
1,22:41:33,09,02,2022
1,22:41:34,09,02,2022
1,22:41:34,09,02,2022
1,22:41:35,09,02,2022
1,22:41:42,09,02,2022
1,22:41:43,09,02,2022
1,22:41:47,09,02,2022
1,22:41:48,09,02,2022
1,22:41:50,09,02,2022
1,22:41:56,09,02,2022
1,22:41:57,09,02,2022
1,22:41:58,09,02,2022
1,22:41:58,09,02,2022
1,22:42:03,09,02,2022
1,22:42:07,09,02,2022
1,22:44:18,09,02,2022
1,22:44:19,09,02,2022
1,23:06:07,09,02,2022
1,23:06:07,09,02,2022
1,23:06:12,09,02,2022
1,23:06:13,09,02,2022
1,23:06:28,09,02,2022
1,23:06:29,09,02,2022
1,23:06:30,09,02,2022
1,23:06:30,09,02,2022
1,23:06:31,09,02,2022
1,23:06:32,09,02,2022
1,23:06:32,09,02,2022
1,23:06:33,09,02,2022
1,23:06:38,09,02,2022
1,23:06:39,09,02,2022
1,23:06:40,09,02,2022
1,23:06:45,09,02,2022
1,23:06:46,09,02,2022
1,23:07:06,09,02,2022
1,23:07:07,09,02,2022
1,23:07:08,09,02,2022
1,23:07:08,09,02,2022
1,23:07:09,09,02,2022
1,23:07:10,09,02,2022
1,23:08:02,09,02,2022
1,23:08:03,09,02,2022
1,23:08:04,09,02,2022
1,23:08:04,09,02,2022
1,23:08:08,09,02,2022
1,23:08:09,09,02,2022
1,23:08:14,09,02,2022
1,23:08:15,09,02,2022
1,23:08:59,09,02,2022
1,23:09:00,09,02,2022
1,23:09:00,09,02,2022
1,23:09:14,09,02,2022
1,23:09:14,09,02,2022
1,23:09:19,09,02,2022
1,23:09:20,09,02,2022
1,23:09:20,09,02,2022
1,23:09:21,09,02,2022
1,23:09:22,09,02,2022
1,23:13:01,09,02,2022
1,23:13:02,09,02,2022
1,23:13:08,09,02,2022
1,23:13:09,09,02,2022
1,23:13:19,09,02,2022
1,23:13:28,09,02,2022
1,23:13:29,09,02,2022
1,23:13:29,09,02,2022
1,23:13:30,09,02,2022
1,23:13:31,09,02,2022
1,23:50:59,09,02,2022
1,23:51:00,09,02,2022
1,23:51:05,09,02,2022
1,23:51:06,09,02,2022
1,23:51:10,09,02,2022
1,23:51:11,09,02,2022
1,23:51:15,09,02,2022
1,23:51:16,09,02,2022
1,23:51:16,09,02,2022
1,23:51:17,09,02,2022
1,23:51:18,09,02,2022
1,23:51:18,09,02,2022
1,23:51:19,09,02,2022
1,23:51:20,09,02,2022
1,23:51:20,09,02,2022
1,23:51:26,09,02,2022
1,23:51:28,09,02,2022
1,23:51:45,09,02,2022
1,23:51:46,09,02,2022
1,23:51:47,09,02,2022
1,23:51:47,09,02,2022
1,23:51:48,09,02,2022
1,23:51:52,09,02,2022
1,23:51:53,09,02,2022
1,23:51:57,09,02,2022
1,23:51:58,09,02,2022
1,23:52:05,09,02,2022
1,23:52:05,09,02,2022
1,23:52:06,09,02,2022
1,23:52:07,09,02,2022
1,23:52:07,09,02,2022
1,00:31:36,10,02,2022
1,00:31:36,10,02,2022
1,00:31:37,10,02,2022
1,00:31:38,10,02,2022
1,00:31:45,10,02,2022
1,00:31:45,10,02,2022
1,00:31:49,10,02,2022
1,00:31:53,10,02,2022
1,00:31:54,10,02,2022
1,00:32:04,10,02,2022
1,00:32:05,10,02,2022
1,00:32:09,10,02,2022
1,00:32:10,10,02,2022
1,00:32:11,10,02,2022
1,00:32:12,10,02,2022
1,00:32:12,10,02,2022
1,00:32:22,10,02,2022
1,00:32:23,10,02,2022
1,00:32:32,10,02,2022
1,00:32:37,10,02,2022
1,00:32:38,10,02,2022
1,00:32:51,10,02,2022
1,00:32:52,10,02,2022
1,00:39:46,10,02,2022
1,00:39:50,10,02,2022
1,04:16:15,10,02,2022
1,05:38:55,10,02,2022
1,10:43:46,10,02,2022
1,10:43:47,10,02,2022
1,10:43:48,10,02,2022
1,10:43:48,10,02,2022
1,10:43:49,10,02,2022
1,10:43:50,10,02,2022
1,11:03:58,10,02,2022
1,11:04:05,10,02,2022
1,11:04:06,10,02,2022
1,11:04:11,10,02,2022
1,11:04:11,10,02,2022
1,11:04:24,10,02,2022
1,11:04:24,10,02,2022
1,11:04:25,10,02,2022
1,11:04:26,10,02,2022
1,11:04:26,10,02,2022
1,11:04:27,10,02,2022
1,11:04:28,10,02,2022
1,11:04:29,10,02,2022
1,11:04:30,10,02,2022
1,11:04:30,10,02,2022
1,11:04:31,10,02,2022
1,11:04:32,10,02,2022
1,11:04:32,10,02,2022
1,11:04:36,10,02,2022
1,11:04:37,10,02,2022
1,11:04:38,10,02,2022
1,11:04:44,10,02,2022
1,11:04:44,10,02,2022
1,11:04:45,10,02,2022
1,11:04:55,10,02,2022
1,11:04:55,10,02,2022
1,11:05:10,10,02,2022
1,11:05:14,10,02,2022
1,11:05:15,10,02,2022
1,11:05:21,10,02,2022
1,11:05:21,10,02,2022
1,11:05:22,10,02,2022
1,11:05:23,10,02,2022
1,11:05:27,10,02,2022
1,11:05:27,10,02,2022
1,11:05:28,10,02,2022
1,11:05:29,10,02,2022
1,11:05:29,10,02,2022
1,11:05:30,10,02,2022
1,11:05:36,10,02,2022
1,11:05:36,10,02,2022
1,11:05:37,10,02,2022
1,11:06:15,10,02,2022
1,11:06:16,10,02,2022
1,11:06:21,10,02,2022
1,11:06:22,10,02,2022
1,11:06:23,10,02,2022
1,11:06:23,10,02,2022
1,11:06:33,10,02,2022
1,11:06:36,10,02,2022
1,11:06:41,10,02,2022
1,11:06:42,10,02,2022
1,11:06:53,10,02,2022
1,11:06:54,10,02,2022
1,11:06:59,10,02,2022
1,11:07:16,10,02,2022
1,11:07:16,10,02,2022
1,11:07:17,10,02,2022
1,11:07:25,10,02,2022
1,11:07:26,10,02,2022
1,11:07:27,10,02,2022
1,11:07:28,10,02,2022
1,11:07:28,10,02,2022
1,11:07:50,10,02,2022
1,11:07:51,10,02,2022
1,11:07:51,10,02,2022
1,11:07:53,10,02,2022
1,11:08:00,10,02,2022
1,11:08:01,10,02,2022
1,11:08:01,10,02,2022
1,11:08:02,10,02,2022
1,11:08:03,10,02,2022
1,11:08:07,10,02,2022
1,11:08:08,10,02,2022
1,11:08:09,10,02,2022
1,11:08:13,10,02,2022
