wilgotnosc,temperatura,ruch,godzina,dzientyg,dzienmsc,miesiac,rok
56,30,1,22:30,sroda,3,1,2021

62,29,0,23:00,sroda,3,1,2021

79,28,1,23:30,sroda,3,1,2021

46,22,1,00:00,czwartek,4,1,2021

66,21,0,00:30,czwartek,4,1,2021

61,26,1,1:00,czwartek,4,1,2021

58,24,1,1:30,czwartek,4,1,2021

80,26,1,2:00,czwartek,4,1,2021

66,19,0,2:30,czwartek,4,1,2021

59,20,0,3:00,czwartek,4,1,2021

71,28,0,3:30,czwartek,4,1,2021

60,20,0,4:00,czwartek,4,1,2021

69,22,0,4:30,czwartek,4,1,2021

64,22,1,5:00,czwartek,4,1,2021

75,26,1,5:30,czwartek,4,1,2021

54,30,1,6:00,czwartek,4,1,2021

67,21,1,6:30,czwartek,4,1,2021

45,26,0,7:00,czwartek,4,1,2021

47,23,1,7:30,czwartek,4,1,2021

79,30,1,8:00,czwartek,4,1,2021

48,21,0,8:30,czwartek,4,1,2021

69,25,1,9:00,czwartek,4,1,2021

69,30,1,9:30,czwartek,4,1,2021

51,21,0,10:00,czwartek,4,1,2021

62,22,1,10:30,czwartek,4,1,2021

46,23,1,11:00,czwartek,4,1,2021

78,24,1,11:30,czwartek,4,1,2021

44,30,1,12:00,czwartek,4,1,2021

41,26,0,12:30,czwartek,4,1,2021

46,22,1,13:00,czwartek,4,1,2021

72,24,0,13:30,czwartek,4,1,2021

52,21,1,14:00,czwartek,4,1,2021

73,23,0,14:30,czwartek,4,1,2021

75,25,0,15:00,czwartek,4,1,2021

62,29,1,15:30,czwartek,4,1,2021

42,21,1,16:00,czwartek,4,1,2021

42,25,1,16:30,czwartek,4,1,2021

59,28,0,17:00,czwartek,4,1,2021

45,20,0,17:30,czwartek,4,1,2021

40,21,1,18:00,czwartek,4,1,2021

76,23,1,18:30,czwartek,4,1,2021

49,20,1,19:00,czwartek,4,1,2021

53,23,0,19:30,czwartek,4,1,2021

80,24,1,20:00,czwartek,4,1,2021

80,20,1,20:30,czwartek,4,1,2021

80,23,0,21:00,czwartek,4,1,2021

43,25,1,21:30,czwartek,4,1,2021

65,22,1,22:00,czwartek,4,1,2021

47,25,0,22:30,czwartek,4,1,2021

67,28,1,23:00,czwartek,4,1,2021

48,26,1,23:30,czwartek,4,1,2021

66,21,1,00:00,piatek,5,1,2021

51,30,0,00:30,piatek,5,1,2021

67,29,1,1:00,piatek,5,1,2021

80,26,0,1:30,piatek,5,1,2021

72,29,0,2:00,piatek,5,1,2021

44,25,0,2:30,piatek,5,1,2021

79,28,1,3:00,piatek,5,1,2021

42,25,1,3:30,piatek,5,1,2021

53,25,1,4:00,piatek,5,1,2021

47,25,0,4:30,piatek,5,1,2021

75,21,0,5:00,piatek,5,1,2021

42,26,1,5:30,piatek,5,1,2021

66,22,0,6:00,piatek,5,1,2021

79,29,1,6:30,piatek,5,1,2021

45,19,0,7:00,piatek,5,1,2021

60,22,0,7:30,piatek,5,1,2021

46,24,1,8:00,piatek,5,1,2021

47,22,1,8:30,piatek,5,1,2021

80,27,0,9:00,piatek,5,1,2021

73,26,1,9:30,piatek,5,1,2021

45,28,0,10:00,piatek,5,1,2021

66,19,0,10:30,piatek,5,1,2021

54,28,0,11:00,piatek,5,1,2021

40,30,0,11:30,piatek,5,1,2021

79,22,0,12:00,piatek,5,1,2021

44,25,0,12:30,piatek,5,1,2021

48,29,1,13:00,piatek,5,1,2021

65,27,1,13:30,piatek,5,1,2021

62,27,0,14:00,piatek,5,1,2021

72,23,0,14:30,piatek,5,1,2021

75,22,1,15:00,piatek,5,1,2021

66,26,1,15:30,piatek,5,1,2021

75,29,0,16:00,piatek,5,1,2021

70,26,1,16:30,piatek,5,1,2021

62,26,0,17:00,piatek,5,1,2021

51,23,0,17:30,piatek,5,1,2021

69,27,0,18:00,piatek,5,1,2021

69,28,1,18:30,piatek,5,1,2021

50,20,1,19:00,piatek,5,1,2021

53,28,0,19:30,piatek,5,1,2021

61,20,1,20:00,piatek,5,1,2021

45,19,1,20:30,piatek,5,1,2021

60,20,1,21:00,piatek,5,1,2021

61,29,1,21:30,piatek,5,1,2021

52,27,0,22:00,piatek,5,1,2021

63,24,0,22:30,piatek,5,1,2021

70,25,1,23:00,piatek,5,1,2021

57,23,0,23:30,piatek,5,1,2021

65,25,1,00:00,sobota,6,1,2021

75,19,0,00:30,sobota,6,1,2021

57,27,0,1:00,sobota,6,1,2021

77,24,1,1:30,sobota,6,1,2021

72,25,1,2:00,sobota,6,1,2021

54,22,1,2:30,sobota,6,1,2021

60,19,1,3:00,sobota,6,1,2021

63,27,1,3:30,sobota,6,1,2021

77,23,0,4:00,sobota,6,1,2021

67,23,1,4:30,sobota,6,1,2021

43,23,1,5:00,sobota,6,1,2021

41,26,0,5:30,sobota,6,1,2021

40,30,0,6:00,sobota,6,1,2021

43,25,0,6:30,sobota,6,1,2021

55,21,0,7:00,sobota,6,1,2021

49,22,1,7:30,sobota,6,1,2021

55,29,1,8:00,sobota,6,1,2021

80,20,1,8:30,sobota,6,1,2021

73,29,1,9:00,sobota,6,1,2021

50,27,0,9:30,sobota,6,1,2021

73,30,1,10:00,sobota,6,1,2021

57,23,0,10:30,sobota,6,1,2021

59,24,1,11:00,sobota,6,1,2021

60,28,0,11:30,sobota,6,1,2021

67,27,1,12:00,sobota,6,1,2021

49,21,0,12:30,sobota,6,1,2021

76,21,1,13:00,sobota,6,1,2021

58,29,1,13:30,sobota,6,1,2021

65,25,1,14:00,sobota,6,1,2021

67,24,1,14:30,sobota,6,1,2021

48,29,0,15:00,sobota,6,1,2021

59,28,0,15:30,sobota,6,1,2021

57,26,0,16:00,sobota,6,1,2021

80,22,0,16:30,sobota,6,1,2021

43,27,1,17:00,sobota,6,1,2021

52,19,1,17:30,sobota,6,1,2021

42,22,0,18:00,sobota,6,1,2021

78,22,0,18:30,sobota,6,1,2021

51,22,0,19:00,sobota,6,1,2021

75,24,0,19:30,sobota,6,1,2021

62,30,0,20:00,sobota,6,1,2021

42,28,1,20:30,sobota,6,1,2021

78,29,0,21:00,sobota,6,1,2021

58,24,0,21:30,sobota,6,1,2021

55,20,0,22:00,sobota,6,1,2021

44,28,0,22:30,sobota,6,1,2021

79,21,0,23:00,sobota,6,1,2021

44,25,0,23:30,sobota,6,1,2021

42,27,1,00:00,niedziela,7,1,2021

78,20,0,00:30,niedziela,7,1,2021

53,26,0,1:00,niedziela,7,1,2021

40,22,1,1:30,niedziela,7,1,2021

55,19,0,2:00,niedziela,7,1,2021

80,26,0,2:30,niedziela,7,1,2021

65,27,0,3:00,niedziela,7,1,2021

64,30,1,3:30,niedziela,7,1,2021

42,21,0,4:00,niedziela,7,1,2021

63,26,0,4:30,niedziela,7,1,2021

57,20,0,5:00,niedziela,7,1,2021

45,29,1,5:30,niedziela,7,1,2021

51,27,1,6:00,niedziela,7,1,2021

42,24,0,6:30,niedziela,7,1,2021

50,27,1,7:00,niedziela,7,1,2021

80,28,0,7:30,niedziela,7,1,2021

71,25,1,8:00,niedziela,7,1,2021

43,21,1,8:30,niedziela,7,1,2021

70,30,0,9:00,niedziela,7,1,2021

42,29,1,9:30,niedziela,7,1,2021

66,21,0,10:00,niedziela,7,1,2021

40,21,0,10:30,niedziela,7,1,2021

67,20,0,11:00,niedziela,7,1,2021

52,19,0,11:30,niedziela,7,1,2021

75,19,1,12:00,niedziela,7,1,2021

61,19,0,12:30,niedziela,7,1,2021

72,23,0,13:00,niedziela,7,1,2021

67,24,0,13:30,niedziela,7,1,2021

62,28,0,14:00,niedziela,7,1,2021

76,22,1,14:30,niedziela,7,1,2021

75,30,1,15:00,niedziela,7,1,2021

43,28,1,15:30,niedziela,7,1,2021

45,19,1,16:00,niedziela,7,1,2021

55,22,0,16:30,niedziela,7,1,2021

48,20,0,17:00,niedziela,7,1,2021

74,26,1,17:30,niedziela,7,1,2021

61,29,0,18:00,niedziela,7,1,2021

49,23,0,18:30,niedziela,7,1,2021

70,25,1,19:00,niedziela,7,1,2021

65,19,0,19:30,niedziela,7,1,2021

51,29,0,20:00,niedziela,7,1,2021

49,23,1,20:30,niedziela,7,1,2021

63,28,1,21:00,niedziela,7,1,2021

59,19,1,21:30,niedziela,7,1,2021

62,29,1,22:00,niedziela,7,1,2021

48,19,0,22:30,niedziela,7,1,2021

51,27,1,23:00,niedziela,7,1,2021

77,27,0,23:30,niedziela,7,1,2021

59,28,1,00:00,poniedzialek,8,1,2021

78,20,1,00:30,poniedzialek,8,1,2021

69,23,1,1:00,poniedzialek,8,1,2021

46,27,0,1:30,poniedzialek,8,1,2021

59,29,1,2:00,poniedzialek,8,1,2021

45,28,0,2:30,poniedzialek,8,1,2021

58,29,1,3:00,poniedzialek,8,1,2021

62,23,0,3:30,poniedzialek,8,1,2021

80,28,1,4:00,poniedzialek,8,1,2021

41,21,0,4:30,poniedzialek,8,1,2021

78,27,1,5:00,poniedzialek,8,1,2021

60,24,0,5:30,poniedzialek,8,1,2021

67,21,1,6:00,poniedzialek,8,1,2021

80,22,1,6:30,poniedzialek,8,1,2021

47,19,0,7:00,poniedzialek,8,1,2021

73,27,0,7:30,poniedzialek,8,1,2021

74,21,0,8:00,poniedzialek,8,1,2021

69,29,0,8:30,poniedzialek,8,1,2021

64,23,1,9:00,poniedzialek,8,1,2021

63,21,1,9:30,poniedzialek,8,1,2021

60,28,1,10:00,poniedzialek,8,1,2021

48,20,0,10:30,poniedzialek,8,1,2021

73,29,0,11:00,poniedzialek,8,1,2021

53,23,0,11:30,poniedzialek,8,1,2021

57,25,0,12:00,poniedzialek,8,1,2021

45,23,1,12:30,poniedzialek,8,1,2021

51,24,1,13:00,poniedzialek,8,1,2021

63,28,1,13:30,poniedzialek,8,1,2021

52,23,0,14:00,poniedzialek,8,1,2021

40,20,1,14:30,poniedzialek,8,1,2021

63,29,1,15:00,poniedzialek,8,1,2021

53,22,1,15:30,poniedzialek,8,1,2021

71,28,0,16:00,poniedzialek,8,1,2021

78,26,0,16:30,poniedzialek,8,1,2021

57,19,1,17:00,poniedzialek,8,1,2021

47,29,0,17:30,poniedzialek,8,1,2021

51,22,1,18:00,poniedzialek,8,1,2021

62,21,0,18:30,poniedzialek,8,1,2021

71,19,1,19:00,poniedzialek,8,1,2021

45,29,0,19:30,poniedzialek,8,1,2021

80,19,0,20:00,poniedzialek,8,1,2021

65,19,0,20:30,poniedzialek,8,1,2021

70,22,1,21:00,poniedzialek,8,1,2021

68,22,0,21:30,poniedzialek,8,1,2021

55,24,1,22:00,poniedzialek,8,1,2021

80,20,0,22:30,poniedzialek,8,1,2021

71,29,1,23:00,poniedzialek,8,1,2021

69,21,1,23:30,poniedzialek,8,1,2021

70,28,0,00:00,wtorek,9,1,2021

79,28,1,00:30,wtorek,9,1,2021

66,28,1,1:00,wtorek,9,1,2021

78,29,1,1:30,wtorek,9,1,2021

61,29,1,2:00,wtorek,9,1,2021

61,28,0,2:30,wtorek,9,1,2021

76,26,0,3:00,wtorek,9,1,2021

40,27,1,3:30,wtorek,9,1,2021

60,26,0,4:00,wtorek,9,1,2021

63,23,0,4:30,wtorek,9,1,2021

59,26,1,5:00,wtorek,9,1,2021

72,28,0,5:30,wtorek,9,1,2021

71,27,0,6:00,wtorek,9,1,2021

71,21,1,6:30,wtorek,9,1,2021

57,20,0,7:00,wtorek,9,1,2021

53,28,1,7:30,wtorek,9,1,2021

57,30,1,8:00,wtorek,9,1,2021

57,25,0,8:30,wtorek,9,1,2021

52,20,1,9:00,wtorek,9,1,2021

41,19,1,9:30,wtorek,9,1,2021

48,22,1,10:00,wtorek,9,1,2021

58,22,0,10:30,wtorek,9,1,2021

76,25,1,11:00,wtorek,9,1,2021

47,23,0,11:30,wtorek,9,1,2021

65,27,1,12:00,wtorek,9,1,2021

79,27,0,12:30,wtorek,9,1,2021

61,27,1,13:00,wtorek,9,1,2021

64,23,1,13:30,wtorek,9,1,2021

76,24,0,14:00,wtorek,9,1,2021

67,27,1,14:30,wtorek,9,1,2021

71,25,0,15:00,wtorek,9,1,2021

58,22,0,15:30,wtorek,9,1,2021

64,21,1,16:00,wtorek,9,1,2021

40,25,1,16:30,wtorek,9,1,2021

68,20,1,17:00,wtorek,9,1,2021

41,25,0,17:30,wtorek,9,1,2021

56,27,0,18:00,wtorek,9,1,2021

72,30,0,18:30,wtorek,9,1,2021

63,28,1,19:00,wtorek,9,1,2021

57,21,0,19:30,wtorek,9,1,2021

75,27,1,20:00,wtorek,9,1,2021

50,25,0,20:30,wtorek,9,1,2021

60,23,1,21:00,wtorek,9,1,2021

65,23,1,21:30,wtorek,9,1,2021

45,24,1,22:00,wtorek,9,1,2021

80,30,0,22:30,wtorek,9,1,2021

63,22,0,23:00,wtorek,9,1,2021

42,30,0,23:30,wtorek,9,1,2021

77,21,1,00:00,sroda,10,1,2021

64,20,1,00:30,sroda,10,1,2021

45,19,0,1:00,sroda,10,1,2021

49,28,0,1:30,sroda,10,1,2021

80,26,0,2:00,sroda,10,1,2021

72,22,0,2:30,sroda,10,1,2021

48,21,1,3:00,sroda,10,1,2021

52,27,0,3:30,sroda,10,1,2021

61,30,0,4:00,sroda,10,1,2021

54,19,1,4:30,sroda,10,1,2021

58,29,1,5:00,sroda,10,1,2021

43,22,0,5:30,sroda,10,1,2021

63,29,1,6:00,sroda,10,1,2021

43,19,0,6:30,sroda,10,1,2021

75,25,1,7:00,sroda,10,1,2021

66,23,1,7:30,sroda,10,1,2021

65,29,0,8:00,sroda,10,1,2021

60,20,1,8:30,sroda,10,1,2021

56,21,1,9:00,sroda,10,1,2021

55,24,1,9:30,sroda,10,1,2021

49,29,1,10:00,sroda,10,1,2021

51,19,0,10:30,sroda,10,1,2021

53,30,0,11:00,sroda,10,1,2021

77,29,1,11:30,sroda,10,1,2021

49,22,1,12:00,sroda,10,1,2021

71,24,0,12:30,sroda,10,1,2021

46,20,0,13:00,sroda,10,1,2021

64,19,1,13:30,sroda,10,1,2021

64,24,0,14:00,sroda,10,1,2021

69,22,1,14:30,sroda,10,1,2021

67,23,0,15:00,sroda,10,1,2021

76,23,0,15:30,sroda,10,1,2021

53,22,0,16:00,sroda,10,1,2021

68,21,1,16:30,sroda,10,1,2021

68,26,0,17:00,sroda,10,1,2021

41,24,0,17:30,sroda,10,1,2021

74,27,1,18:00,sroda,10,1,2021

79,21,0,18:30,sroda,10,1,2021

78,20,0,19:00,sroda,10,1,2021

65,22,0,19:30,sroda,10,1,2021

58,20,1,20:00,sroda,10,1,2021

44,23,0,20:30,sroda,10,1,2021

47,30,0,21:00,sroda,10,1,2021

52,27,0,21:30,sroda,10,1,2021

61,26,0,22:00,sroda,10,1,2021

48,21,0,22:30,sroda,10,1,2021

71,26,0,23:00,sroda,10,1,2021

72,26,0,23:30,sroda,10,1,2021

59,30,0,00:00,czwartek,11,1,2021

58,19,1,00:30,czwartek,11,1,2021

64,24,0,1:00,czwartek,11,1,2021

67,20,0,1:30,czwartek,11,1,2021

48,29,1,2:00,czwartek,11,1,2021

55,27,1,2:30,czwartek,11,1,2021

40,27,1,3:00,czwartek,11,1,2021

53,20,1,3:30,czwartek,11,1,2021

75,25,1,4:00,czwartek,11,1,2021

46,27,0,4:30,czwartek,11,1,2021

46,20,1,5:00,czwartek,11,1,2021

78,30,1,5:30,czwartek,11,1,2021

72,29,1,6:00,czwartek,11,1,2021

77,21,1,6:30,czwartek,11,1,2021

47,23,1,7:00,czwartek,11,1,2021

63,28,0,7:30,czwartek,11,1,2021

50,30,1,8:00,czwartek,11,1,2021

58,26,0,8:30,czwartek,11,1,2021

63,28,1,9:00,czwartek,11,1,2021

44,20,0,9:30,czwartek,11,1,2021

62,22,1,10:00,czwartek,11,1,2021

45,26,0,10:30,czwartek,11,1,2021

61,27,0,11:00,czwartek,11,1,2021

51,21,1,11:30,czwartek,11,1,2021

80,25,1,12:00,czwartek,11,1,2021

58,30,0,12:30,czwartek,11,1,2021

79,22,0,13:00,czwartek,11,1,2021

52,22,0,13:30,czwartek,11,1,2021

67,25,0,14:00,czwartek,11,1,2021

45,30,1,14:30,czwartek,11,1,2021

74,22,0,15:00,czwartek,11,1,2021

43,19,1,15:30,czwartek,11,1,2021

67,26,0,16:00,czwartek,11,1,2021

45,23,0,16:30,czwartek,11,1,2021

63,21,1,17:00,czwartek,11,1,2021

63,28,0,17:30,czwartek,11,1,2021

80,29,0,18:00,czwartek,11,1,2021

64,23,1,18:30,czwartek,11,1,2021

47,27,1,19:00,czwartek,11,1,2021

74,21,1,19:30,czwartek,11,1,2021

52,22,0,20:00,czwartek,11,1,2021

66,29,0,20:30,czwartek,11,1,2021

64,28,0,21:00,czwartek,11,1,2021

64,27,1,21:30,czwartek,11,1,2021

43,19,0,22:00,czwartek,11,1,2021

52,27,0,22:30,czwartek,11,1,2021

72,26,1,23:00,czwartek,11,1,2021

62,27,0,23:30,czwartek,11,1,2021

56,24,0,00:00,piatek,12,1,2021

80,19,1,00:30,piatek,12,1,2021

66,28,1,1:00,piatek,12,1,2021

76,25,0,1:30,piatek,12,1,2021

71,27,1,2:00,piatek,12,1,2021

58,23,0,2:30,piatek,12,1,2021

68,22,0,3:00,piatek,12,1,2021

49,30,1,3:30,piatek,12,1,2021

69,26,0,4:00,piatek,12,1,2021

47,19,0,4:30,piatek,12,1,2021

42,25,1,5:00,piatek,12,1,2021

80,20,0,5:30,piatek,12,1,2021

56,22,1,6:00,piatek,12,1,2021

57,19,1,6:30,piatek,12,1,2021

74,19,0,7:00,piatek,12,1,2021

43,23,0,7:30,piatek,12,1,2021

51,29,1,8:00,piatek,12,1,2021

64,23,0,8:30,piatek,12,1,2021

61,30,1,9:00,piatek,12,1,2021

68,28,0,9:30,piatek,12,1,2021

44,24,1,10:00,piatek,12,1,2021

78,29,0,10:30,piatek,12,1,2021

48,27,1,11:00,piatek,12,1,2021

70,23,0,11:30,piatek,12,1,2021

73,20,1,12:00,piatek,12,1,2021

42,26,0,12:30,piatek,12,1,2021

79,24,0,13:00,piatek,12,1,2021

55,20,1,13:30,piatek,12,1,2021

70,29,1,14:00,piatek,12,1,2021

50,25,0,14:30,piatek,12,1,2021

72,30,1,15:00,piatek,12,1,2021

46,25,0,15:30,piatek,12,1,2021

80,23,0,16:00,piatek,12,1,2021

42,19,1,16:30,piatek,12,1,2021

49,20,0,17:00,piatek,12,1,2021

43,20,1,17:30,piatek,12,1,2021

80,29,0,18:00,piatek,12,1,2021

41,21,0,18:30,piatek,12,1,2021

60,30,0,19:00,piatek,12,1,2021

65,30,1,19:30,piatek,12,1,2021

80,20,0,20:00,piatek,12,1,2021

67,25,1,20:30,piatek,12,1,2021

59,20,0,21:00,piatek,12,1,2021

71,27,1,21:30,piatek,12,1,2021

72,28,1,22:00,piatek,12,1,2021

41,25,0,22:30,piatek,12,1,2021

40,30,1,23:00,piatek,12,1,2021

58,25,0,23:30,piatek,12,1,2021

42,23,1,00:00,sobota,13,1,2021

54,26,0,00:30,sobota,13,1,2021

45,26,0,1:00,sobota,13,1,2021

52,30,1,1:30,sobota,13,1,2021

46,26,1,2:00,sobota,13,1,2021

40,20,1,2:30,sobota,13,1,2021

66,19,1,3:00,sobota,13,1,2021

40,27,0,3:30,sobota,13,1,2021

43,30,0,4:00,sobota,13,1,2021

68,26,1,4:30,sobota,13,1,2021

50,25,1,5:00,sobota,13,1,2021

71,27,0,5:30,sobota,13,1,2021

60,28,1,6:00,sobota,13,1,2021

71,21,1,6:30,sobota,13,1,2021

80,24,0,7:00,sobota,13,1,2021

80,28,0,7:30,sobota,13,1,2021

79,30,0,8:00,sobota,13,1,2021

61,23,0,8:30,sobota,13,1,2021

40,21,1,9:00,sobota,13,1,2021

69,25,1,9:30,sobota,13,1,2021

77,27,1,10:00,sobota,13,1,2021

58,30,0,10:30,sobota,13,1,2021

56,23,1,11:00,sobota,13,1,2021

66,19,0,11:30,sobota,13,1,2021

49,23,0,12:00,sobota,13,1,2021

68,21,1,12:30,sobota,13,1,2021

40,24,0,13:00,sobota,13,1,2021

78,26,1,13:30,sobota,13,1,2021

74,26,0,14:00,sobota,13,1,2021

76,21,1,14:30,sobota,13,1,2021

62,21,0,15:00,sobota,13,1,2021

75,30,1,15:30,sobota,13,1,2021

